name,mgmt_ip,device_type,vendor,model,credential_profile,port
SH-MH-601-I07U14-H3CS9820-YL1-01005,10.252.81.0,switch,h3c,S9820,default,22
SH-MH-601-I09U14-H3CS9820-YL1-01006,10.252.81.1,switch,h3c,S9820,default,22
SH-MH-601-I10U14-H3CS9820-YL1-01007,10.252.81.2,switch,h3c,S9820,default,22
SH-MH-601-I11U14-H3CS9820-YL1-01008,10.252.81.3,switch,h3c,S9820,default,22
SH-MH-501-B10U43-H3CS6850-YL0-12001,10.252.81.4,switch,h3c,S6850,default,22
SH-MH-501-C11U43-H3CS6850-YL0-12002,10.252.81.5,switch,h3c,S6850,default,22
SH-MH-501-I11U43-H3CS6850-YL0-12003,10.252.81.6,switch,h3c,S6850,default,22
SH-MH-501-J09U43-H3CS6850-YL0-12004,10.252.81.7,switch,h3c,S6850,default,22
SH-MH-601-D09U43-H3CS6850-YL0-12005,10.252.81.8,switch,h3c,S6850,default,22
SH-MH-601-E11U43-H3CS6850-YL0-12006,10.252.81.9,switch,h3c,S6850,default,22
SH-MH-601-K09U43-H3CS6850-YL0-12007,10.252.81.10,switch,h3c,S6850,default,22
SH-MH-601-L11U43-H3CS6850-YL0-12008,10.252.81.11,switch,h3c,S6850,default,22
SH-MH-601-G11U41-H3CS6850-YL0-12009,10.252.81.12,switch,h3c,S6850,default,22
SH-MH-601-M11U41-H3CS6850-YL0-12010,10.252.81.13,switch,h3c,S6850,default,22
SH-MH-501-C01U43-H3CS6850-YL0-12011,10.252.81.14,switch,h3c,S6850,default,22
SH-MH-501-D01U43-H3CS6850-YL0-12012,10.252.81.15,switch,h3c,S6850,default,22
SH-MH-501-J01U43-H3CS6850-YL0-12013,10.252.81.16,switch,h3c,S6850,default,22
SH-MH-501-K01U43-H3CS6850-YL0-12014,10.252.81.17,switch,h3c,S6850,default,22
SH-MH-501-D09U43-H3CS6850-YL0-12015,10.252.81.18,switch,h3c,S6850,default,22
SH-MH-501-E11U43-H3CS6850-YL0-12016,10.252.81.19,switch,h3c,S6850,default,22
SH-MH-501-K09U43-H3CS6850-YL0-12017,10.252.81.20,switch,h3c,S6850,default,22
SH-MH-501-L11U43-H3CS6850-YL0-12018,10.252.81.21,switch,h3c,S6850,default,22
SH-MH-501-E08U43-H3CS6850-YL0-12019,10.252.81.22,switch,h3c,S6850,default,22
SH-MH-501-E09U43-H3CS6850-YL0-12020,10.252.81.23,switch,h3c,S6850,default,22
SH-MH-501-D08U43-H3CS6850-YL0-12021,10.252.81.24,switch,h3c,S6850,default,22
SH-MH-501-F10U43-H3CS6850-YL0-12022,10.252.81.25,switch,h3c,S6850,default,22
SH-MH-601-D09U41-H3CS6850-YL0-12023,10.252.81.26,switch,h3c,S6850,default,22
